"Prefab","Boss","DisplayName","Health","ActionsPerTurn","Brain","Targeting","LootTable","DeckSize","Deck","BrandonsPowerLevel","Notes","GUID"
"SkeletonAlly","No","Skeleton","15","1","Warrior","","","4","EnemySlash|EnemySlash|MoveInnate|MoveInnate","","","eaade4b777fd45447af03588cf3692e5"
"BlackKnight","Yes","Black Knight","120","2","Summoner","Strongest","BlackKnightDrop","5","DreadCleave|DreadCleave|BlackGuard|CallTheDamned|MoveInnate","","","fae9e0d8df06f744cb3eed28f98bb54f"
"EvilKing","Yes","Evil King","140","2","Summoner","Strongest","EvilKingDrop","7","ExecutionersBlow|ExecutionersBlow|RoyalGuard|RoyalGuard|RoyalCommand|MoveInnate|MoveInnate","","","e58fd978e913eea4699c373a33b5e08b"
"EvilKnight","Yes","Evil Knight","130","2","Summoner","Closest","EvilKnightDrop","7","Riposte|Riposte|ShieldBash|ShieldBash|Rally|MoveInnate|MoveInnate","","","e6c2dbc2feb811c4dbfea4d90220a6a5"
"EvilWizard","Yes","Evil Wizard","90","2","Summoner","Weakest","EvilWizardDrop","7","DarkBolt|DarkBolt|ShadowWard|ShadowWard|SummonImp|MoveInnate|MoveInnate","","","51a9fe976e746be4385a09a12bb4cc36"
"EvilWizard2","Yes","Dread Sorcerer","95","2","Summoner","Furthest","EvilWizard2Drop","7","ArcaneLance|ArcaneLance|VoidBarrier|VoidBarrier|CallTheSwarm|MoveInnate|MoveInnate","","","8a02da994bf78784c901145a07a767e4"
"EvilWizard3","Yes","Emberlord","100","2","Summoner","Strongest","EvilWizard3Drop","7","MeteorFall|MeteorFall|EmberShroud|EmberShroud|ConjureOoze|MoveInnate|MoveInnate","","","e47742cc0b6bff34d80516b86f0ed93e"
"Reaper","Yes","Reaper","110","2","Summoner","Weakest","ReaperDrop","7","SoulReap|SoulReap|DeathsToll|DeathsToll|RaiseDead|MoveInnate|MoveInnate","","","f5f2a9fce9bdff34a958576185c3c68b"
"ReinforcedGolem","Yes","Reinforced Golem","150","2","Summoner","Closest","ReinforcedGolemDrop","7","SeismicSlam|SeismicSlam|StoneSkin|StoneSkin|SplinterOff|MoveInnate|MoveInnate","","","8d47800381e9665459f3b0826adf6b76"
"Bat","No","Bat","8","2","Warrior","Weakest","","5","DrainBite|DrainBite|DrainBite|MoveInnate|MoveInnate","","","51cc0c0b40e7b264ebdf1dc4594559a6"
"Crab","No","Crab","18","1","Warrior","Closest","","5","PincerGrip|PincerGrip|PincerGrip|MoveInnate|MoveInnate","","","f80d9dc6173669245bd4782952cd1667"
"EnemyRanger","No","Ranger","10","1","Ranger","RangerTargeting","","5","EnemyArrow|EnemyArrow|EnemyArrow|EnemyArrow|MoveInnate","","","e40f592bea6dbd64693626dad514798b"
"FlyingEye","No","Flying Eye","10","1","Ranger","Furthest","","5","WitheringGaze|WitheringGaze|WitheringGaze|MoveInnate|MoveInnate","","","158567c6103052b45a79feac134a4c3b"
"Goblin","No","Goblin","14","2","Warrior","Weakest","","5","Backstab|Backstab|Backstab|MoveInnate|MoveInnate","","","fe7fe8169a3ae3f4ab1463af48263a1a"
"Golem","No","Golem","30","1","Warrior","Closest","","5","BoulderSmash|BoulderSmash|BoulderSmash|MoveInnate|MoveInnate","","","5bdb828176c88144986e3b367ffda1b4"
"HeavyBandit","No","Heavy Bandit","22","1","Warrior","Strongest","","5","HeavySwing|HeavySwing|HeavySwing|MoveInnate|MoveInnate","","","abb6f217c283d344999e3f27fa36640f"
